,buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity
2,CITY SQUARE MALL,"180 KITCHENER ROAD, SINGAPORE 208539",Retail,Yes,Platinum,Large,"65,640",382.0,365.0
3,REPUBLIC PLAZA,"9 RAFFLES PLACE, SINGAPORE 048619",Office,Yes,Platinum,Large,"102,356",212.0,183.0
4,CENTRAL MALL,"1 MAGAZINE ROAD, SINGAPORE 059567",Office,Yes,Platinum,Large,"15,769",203.0,181.0
5,KINEX,"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail,Yes,Gold,Large,"28,938",431.0,396.0
17,PARLIAMENT HOUSE COMPLEX,"1 PARLIAMENT PLACE, SINGAPORE 178880",Office,Yes,Platinum,Large,"19,765",127.0,132.0
26,GRACE GLOBAL RAFFLES,"137 MARKET STREET, SINGAPORE 048943",Office,Yes,GoldPlus,Small,"5,030",171.0,165.0
37,VIVO CITY,"1 HARBOURFRONT WALK, SINGAPORE 098585",Retail,Yes,Gold,Large,"139,853",531.0,511.0
44,OLD HILL STREET POLICE STATION,"140 HILL STREET, SINGAPORE 179369",Office,Yes,Platinum,Large,"26,137",209.0,134.0
45,MINISTRY OF MANPOWER BUILDING,"18 HAVELOCK ROAD, SINGAPORE 059764",Office,Yes,Platinum,Large,"32,034",134.0,138.0
46,MINISTRY OF MANPOWER SERVICES CENTRE,"1500 BENDEMEER ROAD, SINGAPORE 339946",Office,Yes,Platinum,Large,"27,069",133.0,132.0
47,HOTEL ROYAL @ QUEENS,"12 QUEEN STREET, SINGAPORE 188553",Hotel,Yes,Gold,Large,"12,565",233.0,230.0
51,KECK SENG TOWER,"133 CECIL STREET, SINGAPORE 069535",Office,Yes,Certified,Large,"16,122",147.0,138.0
54,ONE RAFFLES LINK,"1 RAFFLES LINK, SINGAPORE 039393",Office,Yes,GoldPlus,Large,"36,280",415.0,386.0
55,SCOTTSWALK,"25 SCOTTS ROAD, SINGAPORE 228220",Mixed Development,Yes,Gold,Large,"47,107",280.0,273.0
57,THE CONCOURSE,"300 BEACH ROAD, SINGAPORE 199555",Office,Yes,Platinum,Large,"62,392",134.0,132.0
70,AIA TOWER,"1 ROBINSON ROAD, SINGAPORE 048542",Office,Yes,Certified,Large,"15,276",222.0,233.0
71,AIA ALEXANDRA,"371 ALEXANDRA ROAD, SINGAPORE 159963",Office,Yes,Certified,Large,"17,828",266.0,247.0
79,BUKIT TIMAH PLAZA,"1 JALAN ANAK BUKIT, SINGAPORE 588996",Retail,Yes,Gold,Large,"25,772",380.0,366.0
80,FAR EAST PLAZA,"14 SCOTTS ROAD, SINGAPORE 228213",Retail,Yes,GoldPlus,Large,"40,749",329.0,334.0
86,SWISSOTEL MERCHANT COURT SINGAPORE,"20 MERCHANT ROAD, SINGAPORE 058281",Hotel,Yes,Platinum,Large,"38,054",208.0,210.0
87,NEX,"23 SERANGOON CENTRAL, SINGAPORE 556083",Retail,Yes,Gold,Large,"87,527",499.0,486.0
88,GENTING HOTEL JURONG,"2 TOWN HALL LINK, SINGAPORE 608516",Hotel,Yes,Platinum,Large,"19,147",254.0,251.0
90,RESORTS WORLD SENTOSA,"8 SENTOSA GATEWAY, SINGAPORE 098269",Mixed Development,Yes,Platinum,Large,"343,000",493.0,485.0
